run_id,timestamp,source,chord_length_mm,leading_edge_angle_deg,leading_edge_thickness_level,trailing_edge_angle_deg,trailing_edge_thickness_mm,te_upr_angle_deg,te_lwr_angle_deg,alpha_deg,velocidad_kmh,reynolds,CL,CD,CM,LD,status,error_detail
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,0,110,311149,-0.3402,0.03359,0.0871,-10.128014289967252,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-2,110,311149,-0.5883,0.02794,0.0922,-21.05583392984968,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-4,110,311149,-0.8316,0.02784,0.0915,-29.870689655172413,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-6,110,311149,-1.0517,0.03243,0.0876,-32.429848905334566,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-8,110,311149,-1.2322,0.04424,0.0799,-27.85262206148282,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-10,110,311149,-0.9619,0.10032,0.0673,-9.588317384370017,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,0,180,509154,-0.3765,0.02281,0.0968,-16.505918456817184,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-2,180,509154,-0.6103,0.02178,0.0957,-28.021120293847563,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-4,180,509154,-0.8396,0.02265,0.0929,-37.06843267108168,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-6,180,509154,-1.0637,0.02729,0.0899,-38.97764748992306,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-8,180,509154,-1.27,0.03215,0.0843,-39.50233281493002,ok,
0029_20260713_234635,2026-07-13T23:46:35,sobol_ext_low,150.460088,8.282075,0.956008,166.511036,2.040692,9.602655,1.389135,-10,180,509154,-1.4525,0.03812,0.077,-38.10335781741868,ok,
